iter	Logloss
0	0.6027242048
1	0.5250395694
2	0.4820150145
3	0.460805437
4	0.4237034887
5	0.4084906362
6	0.374053577
7	0.3656980578
8	0.3514026133
9	0.3465927303
10	0.3338362705
11	0.32355532
12	0.3196475258
13	0.3121284926
14	0.3077483997
15	0.2939966548
16	0.2891242189
17	0.2835325608
18	0.2750107165
19	0.2697768479
20	0.2672148046
21	0.2656668746
22	0.2618440229
23	0.2592216451
24	0.2473779032
25	0.2451696167
26	0.2402037257
27	0.2386198447
28	0.2329471006
29	0.2226079718
30	0.2204952588
31	0.2191585029
32	0.2153116893
33	0.2144799542
34	0.2090930822
35	0.2076713489
36	0.2068333481
37	0.2060230084
38	0.2046315131
39	0.2044879766
40	0.2027795044
41	0.2023150159
42	0.2011733833
43	0.1998829312
44	0.1975746923
45	0.1956958437
46	0.1948190861
47	0.193647691
48	0.1894237249
49	0.187393646
50	0.1861873998
51	0.1845268354
52	0.1835012943
53	0.1814733522
54	0.1803508939
55	0.176662908
56	0.175180962
57	0.174393116
58	0.1735071451
59	0.1728366963
60	0.1705761157
61	0.1685420192
62	0.1674615927
63	0.1666937004
64	0.1659219767
65	0.1647340977
66	0.1638699054
67	0.1622155279
68	0.1613772399
69	0.1572285727
70	0.1566926112
71	0.1550751504
72	0.1538240167
73	0.1527184016
74	0.1514093238
75	0.1497478377
76	0.1488691594
77	0.1479880828
78	0.1474679235
79	0.1465864752
80	0.1447803167
81	0.1440796476
82	0.1433920704
83	0.1425344948
84	0.1415242379
85	0.140167801
86	0.1394688476
87	0.1381619457
88	0.1375975547
89	0.1366237022
90	0.1358766599
91	0.1349059453
92	0.1342061836
93	0.1334736576
94	0.1319273693
95	0.1312922282
96	0.1302136501
97	0.1295470549
98	0.129145021
99	0.1276644992
100	0.1269206333
101	0.1263225628
102	0.1258530515
103	0.1251043779
104	0.1240949183
105	0.1237196612
106	0.1223146194
107	0.1216796439
108	0.1211977962
109	0.1206506953
110	0.119944173
111	0.119538673
112	0.118711762
113	0.1179171379
114	0.1174772817
115	0.1169258942
116	0.1166241762
117	0.1162529754
118	0.1158267518
119	0.1150711835
120	0.1143506528
121	0.1139083438
122	0.1134204419
123	0.1125938533
124	0.1123109297
125	0.1119810862
126	0.1116178776
127	0.1113101087
128	0.1106878701
129	0.1102003415
130	0.1099632555
131	0.1097136187
132	0.1092223848
133	0.1085543866
134	0.1078718862
135	0.1075126697
136	0.1071240333
137	0.106571344
138	0.1062329257
139	0.1059819468
140	0.1054190245
141	0.1049245022
142	0.1045766073
143	0.1040781316
144	0.1038578504
145	0.1033465748
146	0.1029645451
147	0.1024965369
148	0.1022317944
149	0.1018750411
150	0.1014237032
151	0.1010220807
152	0.1004888136
153	0.1001411336
154	0.0996212642
155	0.09920079479
156	0.09879282432
157	0.09852276748
158	0.09823641889
159	0.09801122893
160	0.09761941402
161	0.09727855646
162	0.09684961183
163	0.09650946411
164	0.09611318045
165	0.09543609556
166	0.09512512353
167	0.0949173836
168	0.09456309403
169	0.09394450373
170	0.09352550352
171	0.09327554528
172	0.09295714839
173	0.09278235689
174	0.09232198524
175	0.09198231047
176	0.0916418731
177	0.09123865884
178	0.09087993461
179	0.09047004657
